id,Typologie cadeau,Cadeau,Lien,image_url,Tranche d'âge,Budget cible,Prix,Occasion,Activités / Centres d'intérêts,Relation,Personnalité / Préférences,Genre,Tags,Catégorie de Produit,Évaluations Produit,Marque,Options de Personnalisation,Éco-responsable,Couleur,Dimensions,Matériau,Description,,,,,,,,,,,,,,
63,Livres,Livre jeune femme,"https://www.amazon.fr/Nos-%C3%A9toiles-silencieuses-Sana%C3%A4-K/dp/2501070038/ref=pd_sim_d_sccl_1_4/260-6982440-3675229?pd_rd_w=ZBnp9&amp;content-id=amzn1.sym.55ef0fbe-0000-4194-b5f2-eb82b8cbc57c&amp;pf_rd_p=55ef0fbe-0000-4194-b5f2-eb82b8cbc57c&amp;pf_rd_r=ERCA4QEWCMK8MDN0352Z&amp;pd_rd_wg=nwtOm&amp;pd_rd_r=eca0fd82-994a-43af-8c3e-5a0f972f000a&amp;pd_rd_i=2501070038&amp;psc=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=80dae44cd81d625c21811d774e434b23&camp=1642&creative=6746"">Prezent</a>",https://m.media-amazon.com/images/I/51+f1xd4U8L._SY445_SX342_.jpg,15- 25 ans,5 - 20 €,20€,Anniversaire,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livre jeune femme,,,Non,Non,,,,"""Le silence des étoiles"" nous plonge dans le quotidien d'une jeune femme, carrière, peine de coeur, amitié, indépendance. Comment avancer lorsque l'on se perd en chemin.
Mot de l'autrice : L'autrice, illustratrice et peintre française Sanaa K tient un blog ainsi qu'une page Instagram, elle y publie ses humeurs. Elle vit en banlieue parisienne.""",,,,,,,,,,
64,Livres,Livre jeune femme,https://www.amazon.fr/Nos-%C3%A9toiles-silencieuses-Sana%C3%A4-K/dp/2501070038/ref=pd_sim_d_sccl_1_4/260-6982440-3675229?pd_rd_w=ZBnp9&amp,content-id=amzn1.sym.55ef0fbe-0000-4194-b5f2-eb82b8cbc57c&amp,pf_rd_p=55ef0fbe-0000-4194-b5f2-eb82b8cbc57c&amp,pf_rd_r=ERCA4QEWCMK8MDN0352Z&amp,pd_rd_wg=nwtOm&amp,pd_rd_r=eca0fd82-994a-43af-8c3e-5a0f972f000a&amp,pd_rd_i=2501070038&amp,psc=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=80dae44cd81d625c21811d774e434b23&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51+f1xd4U8L._SY445_SX342_.jpg,15- 25 ans,5 - 20 €,20€,Noel,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livre jeune femme,,,Non,Non,,,,"""Le silence des étoiles"" nous plonge dans le quotidien d'une jeune femme, carrière, peine de coeur, amitié, indépendance. Comment avancer lorsque l'on se perd en chemin.
Mot de l'autrice : L'autrice, illustratrice et peintre française Sanaa K tient un blog ainsi qu'une page Instagram, elle y publie ses humeurs. Elle vit en banlieue parisienne.""",,,
65,Livres,Livre jeune femme,https://www.amazon.fr/Nos-%C3%A9toiles-silencieuses-Sana%C3%A4-K/dp/2501070038/ref=pd_sim_d_sccl_1_4/260-6982440-3675229?pd_rd_w=ZBnp9&amp,content-id=amzn1.sym.55ef0fbe-0000-4194-b5f2-eb82b8cbc57c&amp,pf_rd_p=55ef0fbe-0000-4194-b5f2-eb82b8cbc57c&amp,pf_rd_r=ERCA4QEWCMK8MDN0352Z&amp,pd_rd_wg=nwtOm&amp,pd_rd_r=eca0fd82-994a-43af-8c3e-5a0f972f000a&amp,pd_rd_i=2501070038&amp,psc=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=80dae44cd81d625c21811d774e434b23&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51+f1xd4U8L._SY445_SX342_.jpg,15- 25 ans,5 - 20 €,20€,Saint Valentin,Lecture, developpement personnel,Partenaire,Aime lire,Femme,Livre, petite fille, personne noir,Livre jeune femme,,,Non,Non,,,,"""Le silence des étoiles"" nous plonge dans le quotidien d'une jeune femme, carrière, peine de coeur, amitié, indépendance. Comment avancer lorsque l'on se perd en chemin.
Mot de l'autrice : L'autrice, illustratrice et peintre française Sanaa K tient un blog ainsi qu'une page Instagram, elle y publie ses humeurs. Elle vit en banlieue parisienne.""",,,,
66,Carnet,carnet ,https://www.amazon.fr/Bullet-carnet-Sanaa-K-Kassou/dp/2501130960/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=201AVVOOAM2QV&amp,keywords=bullet+book+sanaa+k&amp,qid=1702409787&amp,sprefix=bullet+book+sanaak%252Caps%252C73&amp,sr=8-1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=6779f8ab150bb78959209daa2095200f&camp=1642&creative=6746,https://m.media-amazon.com/images/I/819wErW2l3L._SY466_.jpg,15- 25 ans,,,Anniversaire,écriture, developpement personnel,Famille, Ami,Aime écrire,Femme,Ecriture, organisation,carnet ,,,Oui,Non,,,,"""Quand Sanäa-K créé son Bullet carnet ! L'illustratrice Sanäa-K (121 000 abonnés sur Instagram) s'empare du concept à succès pour nous livrer une version haute en couleur et pleine de son humour anti-cliché qu'on aime tant. Une année avec son Bullet carnet Sanäa-K, ça promet un brin de folie au quotidien !""",,,,,,
67,Carnet,carnet ,https://www.amazon.fr/Bullet-carnet-Sanaa-K-Kassou/dp/2501130960/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=201AVVOOAM2QV&amp,keywords=bullet+book+sanaa+k&amp,qid=1702409787&amp,sprefix=bullet+book+sanaak%252Caps%252C73&amp,sr=8-1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=6779f8ab150bb78959209daa2095200f&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51E0pYFU6fL._SY445_SX342_.jpg,15- 25 ans,,,Noel,écriture, developpement personnel,Famille, Ami,Aime écrire,Femme,Ecriture, organisation,carnet ,,,Oui,Non,,,,"""Quand Sanäa-K créé son Bullet carnet ! L'illustratrice Sanäa-K (121 000 abonnés sur Instagram) s'empare du concept à succès pour nous livrer une version haute en couleur et pleine de son humour anti-cliché qu'on aime tant. Une année avec son Bullet carnet Sanäa-K, ça promet un brin de folie au quotidien !""",,,,,,
68,Carnet,carnet ,https://www.amazon.fr/Bullet-carnet-Sanaa-K-Kassou/dp/2501130960/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=201AVVOOAM2QV&amp,keywords=bullet+book+sanaa+k&amp,qid=1702409787&amp,sprefix=bullet+book+sanaak%252Caps%252C73&amp,sr=8-1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=6779f8ab150bb78959209daa2095200f&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51E0pYFU6fL._SY445_SX342_.jpg,15- 25 ans,,,Saint Valentin,écriture, developpement personnel,Partenaire,Aime écrire,Femme,Ecriture, organisation,carnet ,,,Oui,Non,,,,"""Quand Sanäa-K créé son Bullet carnet ! L'illustratrice Sanäa-K (121 000 abonnés sur Instagram) s'empare du concept à succès pour nous livrer une version haute en couleur et pleine de son humour anti-cliché qu'on aime tant. Une année avec son Bullet carnet Sanäa-K, ça promet un brin de folie au quotidien !""",,,,,,,
69,Livres,Livre jeune femme,https://www.amazon.fr/dp/2755693746/ref=sspa_dk_detail_1?psc=1&amp,pd_rd_i=2755693746&amp,pd_rd_w=BWQVL&amp,content-id=amzn1.sym.2b631440-6276-45ab-a2e4-50e8867cfe1d&amp,pf_rd_p=2b631440-6276-45ab-a2e4-50e8867cfe1d&amp,pf_rd_r=VXEJ0JV4SRB5BEYX44Q7&amp,pd_rd_wg=LGYLk&amp,pd_rd_r=0e2bca21-ba06-46fc-91f7-2bcfd023c1a8&amp,s=books&amp,sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=8475f60719363500e357d1d79d3ac75d&camp=1642&creative=6746,https://m.media-amazon.com/images/I/81SeT5kS47L._SY466_.jpg,15- 25 ans,20 - 30 €,25€,Anniversaire,Lecture, romance,Famille, Ami,Aime lire,Femme,Livre, femme, romance, adolecsence,Livre jeune femme,,,Non,Non,,,,"""Ce troisième volume approfondi les thèmes sensibles et le lien sentimentale qui unit Hadès et Perséphone. Vont-ils arriver à dépasser les obstacles ensemble ?
Le tome 3 tant attendu de la saga à succès Lore Olympus arrive en novembre, un moment parfait pour les cadeaux de fin d'année ! Après deux premiers volumes très bien accueillis"""
70,Livres,Livre jeune femme,"https://www.amazon.fr/dp/2755693746/ref=sspa_dk_detail_1?psc=1&amp;pd_rd_i=2755693746&amp;pd_rd_w=BWQVL&amp;content-id=amzn1.sym.2b631440-6276-45ab-a2e4-50e8867cfe1d&amp;pf_rd_p=2b631440-6276-45ab-a2e4-50e8867cfe1d&amp;pf_rd_r=VXEJ0JV4SRB5BEYX44Q7&amp;pd_rd_wg=LGYLk&amp;pd_rd_r=0e2bca21-ba06-46fc-91f7-2bcfd023c1a8&amp;s=books&amp;sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=8475f60719363500e357d1d79d3ac75d&camp=1642&creative=6746"">Prezent</a>",https://m.media-amazon.com/images/I/51goDwxDGRL._SX342_SY445_.jpg,15- 25 ans,20 - 30 €,25€,Noel,Lecture, romance,Famille, Ami,Aime lire,Femme,Livre, femme, romance, adolecsence,Livre jeune femme,,,Non,Non,,,,"""Ce troisième volume approfondi les thèmes sensibles et le lien sentimentale qui unit Hadès et Perséphone. Vont-ils arriver à dépasser les obstacles ensemble ?
Le tome 3 tant attendu de la saga à succès Lore Olympus arrive en novembre, un moment parfait pour les cadeaux de fin d'année ! Après deux premiers volumes très bien accueillis""",,,,,,,,,
71,Livres,Livre jeune femme,https://www.amazon.fr/dp/2755693746/ref=sspa_dk_detail_1?psc=1&amp,pd_rd_i=2755693746&amp,pd_rd_w=BWQVL&amp,content-id=amzn1.sym.2b631440-6276-45ab-a2e4-50e8867cfe1d&amp,pf_rd_p=2b631440-6276-45ab-a2e4-50e8867cfe1d&amp,pf_rd_r=VXEJ0JV4SRB5BEYX44Q7&amp,pd_rd_wg=LGYLk&amp,pd_rd_r=0e2bca21-ba06-46fc-91f7-2bcfd023c1a8&amp,s=books&amp,sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=8475f60719363500e357d1d79d3ac75d&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51goDwxDGRL._SX342_SY445_.jpg,15- 25 ans,20 - 30 €,25€,Saint Valentin,Lecture, romance,Partenaire,Aime lire,Femme,Livre, femme, romance, adolecsence,Livre jeune femme,,,Non,Non,,,,"""Ce troisième volume approfondi les thèmes sensibles et le lien sentimentale qui unit Hadès et Perséphone. Vont-ils arriver à dépasser les obstacles ensemble ?
Le tome 3 tant attendu de la saga à succès Lore Olympus arrive en novembre, un moment parfait pour les cadeaux de fin d'année ! Après deux premiers volumes très bien accueillis""",
72,Livres,Livre jeune femme,"https://www.amazon.fr/Burn-after-writing-fran%C3%A7aise-officielle/dp/2849336211/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp;crid=1JB1Y2PWN3F7R&amp;keywords=burn+it&amp;qid=1702409909&amp;s=books&amp;sprefix=burn+it%252Cstripbooks%252C73&amp;sr=1-1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=2e93ccef9216d6eaa85bf575246d365f&camp=1642&creative=6746"">Prezent</a>",https://m.media-amazon.com/images/I/41l6ocI3JmL._SY445_SX342_.jpg,15- 25 ans,5 - 20 €,14€,Anniversaire,Lecture, écriture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, écriture, développement,Livre jeune femme,,,Oui,Non,,,,"""Le monde est devenu un gigantesque confessionnal. Dans un renversement de tendance, Burn After Writing vous encourage à ne rien partager. Avec ses questions incisives, ce journal intime vous met au défi de jouer à un jeu d'action ou vérité avec vous-même. Repoussez vos limites, réfléchissez à votre passé, à votre présent et à votre futur, et créez un livre secret qui parle de vous, rien que pour vous.""",,,,,,,,,
73,Livres,Livre jeune femme,https://www.amazon.fr/Burn-after-writing-fran%C3%A7aise-officielle/dp/2849336211/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=1JB1Y2PWN3F7R&amp,keywords=burn+it&amp,qid=1702409909&amp,s=books&amp,sprefix=burn+it%252Cstripbooks%252C73&amp,sr=1-1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=2e93ccef9216d6eaa85bf575246d365f&camp=1642&creative=6746,https://m.media-amazon.com/images/I/6190BgAT6XL._SY466_.jpg,15- 25 ans,5 - 20 €,14€,Noel,Lecture, écriture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, écriture, développement,Livre jeune femme,,,Oui,Non,,,,"""Le monde est devenu un gigantesque confessionnal. Dans un renversement de tendance, Burn After Writing vous encourage à ne rien partager. Avec ses questions incisives, ce journal intime vous met au défi de jouer à un jeu d'action ou vérité avec vous-même. Repoussez vos limites, réfléchissez à votre passé, à votre présent et à votre futur, et créez un livre secret qui parle de vous, rien que pour vous.""",,,
74,Livres,Voiture Barbie,https://www.amazon.fr/Barbie-Film-Corvette-Radiocommand%C3%A9e-Collectionner/dp/B0BCMDJMHZ/ref=pd_ci_mcx_mh_mcx_views_0?pd_rd_w=bSOse&amp,content-id=amzn1.sym.ab07e7f3-a9b4-4e9d-b520-6dffc079c633%253Aamzn1.symc.ca948091-a64d-450e-86d7-c161ca33337b&amp,pf_rd_p=ab07e7f3-a9b4-4e9d-b520-6dffc079c633&amp,pf_rd_r=PQ4KYXV254K09MMJRS4P&amp,pd_rd_wg=BXCCM&amp,pd_rd_r=67bbb9ce-3ae8-46ea-ac09-0b994fab437a&amp,pd_rd_i=B0BCMDJMHZ&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=45ff1a3e9f0e45b517383ff38b524cbf&camp=1642&creative=6746,https://m.media-amazon.com/images/I/81zJCWzMZNL.__AC_SX300_SY300_QL70_ML2_.jpg,6 - 12 ans,60 - 80 €,70€,Anniversaire,jeux, voiture, barbie,Famille, Ami,Princesse,Femme,Jeux petite fille, barbie,Voiture Barbie,,Barbie,Non,Non,,,,"""Prenez la route avec la Corvette Barbie radiocommandée de Hot Wheels qui ressemble à l’identique à la Corvette Stingray de 1956 que Barbie conduit dans le film !""",,,,
75,Livres,Voiture Barbie,https://www.amazon.fr/Barbie-Film-Corvette-Radiocommand%C3%A9e-Collectionner/dp/B0BCMDJMHZ/ref=pd_ci_mcx_mh_mcx_views_0?pd_rd_w=bSOse&amp,content-id=amzn1.sym.ab07e7f3-a9b4-4e9d-b520-6dffc079c633%253Aamzn1.symc.ca948091-a64d-450e-86d7-c161ca33337b&amp,pf_rd_p=ab07e7f3-a9b4-4e9d-b520-6dffc079c633&amp,pf_rd_r=PQ4KYXV254K09MMJRS4P&amp,pd_rd_wg=BXCCM&amp,pd_rd_r=67bbb9ce-3ae8-46ea-ac09-0b994fab437a&amp,pd_rd_i=B0BCMDJMHZ&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=45ff1a3e9f0e45b517383ff38b524cbf&camp=1642&creative=6746,https://m.media-amazon.com/images/I/81zJCWzMZNL.__AC_SX300_SY300_QL70_ML2_.jpg,6 - 12 ans,60 - 80 €,70€,Noel,jeux, voiture, barbie,Famille, Ami,Princesse,Femme,Jeux petite fille, barbie,Voiture Barbie,,Barbie,Non,Non,,,,"""Prenez la route avec la Corvette Barbie radiocommandée de Hot Wheels qui ressemble à l’identique à la Corvette Stingray de 1956 que Barbie conduit dans le film !""",,,,
76,Livres,Livres petite fille,https://www.amazon.fr/Teint-Comme-Mien-Latashia-Perry/dp/099985786X/?_encoding=UTF8&amp,pd_rd_w=PRwmn&amp,content-id=amzn1.sym.de44aae9-b559-4076-8a72-f44ea13a124d%253Aamzn1.symc.acc592a4-4352-4855-9385-357337847763&amp,pf_rd_p=de44aae9-b559-4076-8a72-f44ea13a124d&amp,pf_rd_r=TWMCE62C5VM9JXK8TB3R&amp,pd_rd_wg=5oxFB&amp,pd_rd_r=7871060c-31ae-4a48-954d-f6823d0bf5ec&amp,ref_=pd_gw_ci_mcx_mr_hp_d&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=9412012d74feaf0b2f7e1d110df07b8e&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51F+CMltpCL._SX342_SY445_.jpg,6 - 12 ans,5 - 20 €,10€,Anniversaire,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,,,,
77,Livres,Livres petite fille,https://www.amazon.fr/Teint-Comme-Mien-Latashia-Perry/dp/099985786X/?_encoding=UTF8&amp,pd_rd_w=PRwmn&amp,content-id=amzn1.sym.de44aae9-b559-4076-8a72-f44ea13a124d%253Aamzn1.symc.acc592a4-4352-4855-9385-357337847763&amp,pf_rd_p=de44aae9-b559-4076-8a72-f44ea13a124d&amp,pf_rd_r=TWMCE62C5VM9JXK8TB3R&amp,pd_rd_wg=5oxFB&amp,pd_rd_r=7871060c-31ae-4a48-954d-f6823d0bf5ec&amp,ref_=pd_gw_ci_mcx_mr_hp_d&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=9412012d74feaf0b2f7e1d110df07b8e&camp=1642&creative=6748,https://m.media-amazon.com/images/I/51F+CMltpCL._SX342_SY445_.jpg,6 - 12 ans,5 - 20 €,10€,Noel,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,,,,
78,Livres,Livres petite fille,https://www.amazon.fr/Sulwe-Lupita-Nyongo/dp/2749949920/ref=bmx_dp_ce4zcmin_d_sccl_3_4/260-6982440-3675229?pd_rd_w=Zx70q&amp,content-id=amzn1.sym.b29db34e-c96c-439d-954b-1a7c0741c793&amp,pf_rd_p=b29db34e-c96c-439d-954b-1a7c0741c793&amp,pf_rd_r=Q56B0K7VW9ZA357D4XM8&amp,pd_rd_wg=l5Qir&amp,pd_rd_r=b126d257-918c-4155-b93c-24035f9cfdd4&amp,pd_rd_i=2749949920&amp,psc=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=076cf764c7e8aa984d65e50d2880f633&camp=1642&creative=6746,https://m.media-amazon.com/images/I/41nj30mAOhL._SY445_SX342_.jpg,6 - 12 ans,5 - 20 €,15€,Anniversaire,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,,,,
79,Livres,Livres petite fille,https://www.amazon.fr/Sulwe-Lupita-Nyongo/dp/2749949920/ref=bmx_dp_ce4zcmin_d_sccl_3_4/260-6982440-3675229?pd_rd_w=Zx70q&amp,content-id=amzn1.sym.b29db34e-c96c-439d-954b-1a7c0741c793&amp,pf_rd_p=b29db34e-c96c-439d-954b-1a7c0741c793&amp,pf_rd_r=Q56B0K7VW9ZA357D4XM8&amp,pd_rd_wg=l5Qir&amp,pd_rd_r=b126d257-918c-4155-b93c-24035f9cfdd4&amp,pd_rd_i=2749949920&amp,psc=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=076cf764c7e8aa984d65e50d2880f633&camp=1642&creative=6746,https://m.media-amazon.com/images/I/41nj30mAOhL._SY445_SX342_.jpg,6 - 12 ans,5 - 20 €,15€,Noel,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,,,,
80,Livres,Livres petite fille,https://www.amazon.fr/chemin-jada-Laura-Nsafou/dp/2366244657/ref=pd_bxgy_img_d_sccl_2/260-6982440-3675229?pd_rd_w=3y55h&amp,content-id=amzn1.sym.94e2eb88-804b-4c04-a956-bea13d4e30f5&amp,pf_rd_p=94e2eb88-804b-4c04-a956-bea13d4e30f5&amp,pf_rd_r=71SE728HC3Z293XMS4GH&amp,pd_rd_wg=CXbWU&amp,pd_rd_r=564a6a34-f31e-468b-bcbd-aa2c72490b43&amp,pd_rd_i=2366244657&amp,psc=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=db15d45f1723c961a999cbacada1a48c&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51XVlWSkwwL._SX342_SY445_.jpg,6 - 12 ans,5 - 20 €,15€,Anniversaire,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,,,,
81,Livres,Livres petite fille,https://www.amazon.fr/chemin-jada-Laura-Nsafou/dp/2366244657/ref=pd_bxgy_img_d_sccl_2/260-6982440-3675229?pd_rd_w=3y55h&amp,content-id=amzn1.sym.94e2eb88-804b-4c04-a956-bea13d4e30f5&amp,pf_rd_p=94e2eb88-804b-4c04-a956-bea13d4e30f5&amp,pf_rd_r=71SE728HC3Z293XMS4GH&amp,pd_rd_wg=CXbWU&amp,pd_rd_r=564a6a34-f31e-468b-bcbd-aa2c72490b43&amp,pd_rd_i=2366244657&amp,psc=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=db15d45f1723c961a999cbacada1a48c&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51XVlWSkwwL._SX342_SY445_.jpg,6 - 12 ans,5 - 20 €,15€,Noel,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,,,,
82,Jeux de société,Jeux de carte,https://www.amazon.fr/Were-Not-Really-Strangers-cartes/dp/B092GM9NWH/ref=sr_1_2_mod_primary_new?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=29U1VR1VOWM2V&amp,keywords=we%252Bare%252Bnot%252Breally%252Bstrangers&amp,qid=1702414845&amp,sbo=RZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D&amp,sprefix=we%252Bare%252Bnot%252Breally%252Bstrangers%252Caps%252C180&amp,sr=8-2&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=ea7644c10f0024722c420b4f283c1f32&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51XVlWSkwwL._SX342_SY445_.jpg,15-40 ans,50-60 €,63€,Secret Santa ,Jeux de carte,Famille, Ami,Curieux, empathique ,Mixte,Jeux de société,Jeux de carte,,,Non,Non,,,,,,,,,
83,Jeux de société,Jeux de carte,https://www.amazon.fr/Were-Not-Really-Strangers-cartes/dp/B092GM9NWH/ref=sr_1_2_mod_primary_new?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=29U1VR1VOWM2V&amp,keywords=we%252Bare%252Bnot%252Breally%252Bstrangers&amp,qid=1702414845&amp,sbo=RZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D&amp,sprefix=we%252Bare%252Bnot%252Breally%252Bstrangers%252Caps%252C180&amp,sr=8-2&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=ea7644c10f0024722c420b4f283c1f32&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71E20gk0LdL._SY466_.jpg,15-40 ans,50-60 €,63€,Anniversaire ,Jeux de carte,Famille, Ami,Curieux, empathique ,Mixte,Jeux de société,Jeux de carte,,,Non,Non,,,,,,,,,
84,Jeux de société,Jeux de carte,https://www.amazon.fr/Were-Not-Really-Strangers-cartes/dp/B092GM9NWH/ref=sr_1_2_mod_primary_new?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=29U1VR1VOWM2V&amp,keywords=we%252Bare%252Bnot%252Breally%252Bstrangers&amp,qid=1702414845&amp,sbo=RZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D&amp,sprefix=we%252Bare%252Bnot%252Breally%252Bstrangers%252Caps%252C180&amp,sr=8-2&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=ea7644c10f0024722c420b4f283c1f32&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51IvU4RPslL.__AC_SX300_SY300_QL70_ML2_.jpg,15-40 ans,50-60 €,63€,Crémaillère,Jeux de carte,Famille, Ami,Curieux, empathique ,Mixte,Jeux de société,Jeux de carte,,,Non,Non,,,,,,,,,
85,Projecteur,Mini projecteur,https://www.amazon.fr/projecteur-Portable-PVO-Polychrome-Enfants/dp/B08B8DKYPS/?_encoding=UTF8&amp,ref_=dlx_deals_sc_dcl_img_dt_dealz_rd&amp,pd_rd_w=vyX2S&amp,content-id=amzn1.sym.949b4809-6ed2-4709-a4ed-fe2580a66683&amp,pf_rd_p=949b4809-6ed2-4709-a4ed-fe2580a66683&amp,pf_rd_r=GT7H3FQZPRJG1ZFFVMDV&amp,pd_rd_wg=JVZp4&amp,pd_rd_r=c4be1c3d-358f-45c9-a3a2-ac37e70e5c87&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=ef3bb6779d7bc3b3c3fec932bac74f77&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51-lGzRGhmL.__AC_SX300_SY300_QL70_ML2_.jpg,15- 25 ans,50-60 €,51€,Noel,Hightech,Famille, Ami,Cinéphile, casanier,Mixte,Projecteur, film, cinéma,High Tech ,,,Non,Non,,,,,,
86,Projecteur,Mini projecteur,https://www.amazon.fr/projecteur-Portable-PVO-Polychrome-Enfants/dp/B08B8DKYPS/?_encoding=UTF8&amp,ref_=dlx_deals_sc_dcl_img_dt_dealz_rd&amp,pd_rd_w=vyX2S&amp,content-id=amzn1.sym.949b4809-6ed2-4709-a4ed-fe2580a66683&amp,pf_rd_p=949b4809-6ed2-4709-a4ed-fe2580a66683&amp,pf_rd_r=GT7H3FQZPRJG1ZFFVMDV&amp,pd_rd_wg=JVZp4&amp,pd_rd_r=c4be1c3d-358f-45c9-a3a2-ac37e70e5c87&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=ef3bb6779d7bc3b3c3fec932bac74f77&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51-lGzRGhmL.__AC_SX300_SY300_QL70_ML2_.jpg,15- 25 ans,50-60 €,51€,Anniversaire ,Hightech,Famille, Ami,Cinéphile, casanier,Mixte,Projecteur, film, cinéma,High Tech ,,,Non,Non,,,,,,
87,Projecteur,Mini projecteur,https://www.amazon.fr/projecteur-Portable-PVO-Polychrome-Enfants/dp/B08B8DKYPS/?_encoding=UTF8&amp,ref_=dlx_deals_sc_dcl_img_dt_dealz_rd&amp,pd_rd_w=vyX2S&amp,content-id=amzn1.sym.949b4809-6ed2-4709-a4ed-fe2580a66683&amp,pf_rd_p=949b4809-6ed2-4709-a4ed-fe2580a66683&amp,pf_rd_r=GT7H3FQZPRJG1ZFFVMDV&amp,pd_rd_wg=JVZp4&amp,pd_rd_r=c4be1c3d-358f-45c9-a3a2-ac37e70e5c87&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=ef3bb6779d7bc3b3c3fec932bac74f77&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51-lGzRGhmL.__AC_SX300_SY300_QL70_ML2_.jpg,15- 25 ans,50-60 €,51€,Crémaillère,Hightech,Famille, Ami,Cinéphile, casanier,Mixte,Projecteur, film, cinéma,High Tech ,,,Non,Non,,,,,,
